"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\api\index.js", "JavaScript", 4, 3, 3, 10
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\api\userRoutes.js", "JavaScript", 68, 5, 14, 87
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\commentController.js", "JavaScript", 53, 6, 6, 65
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\homeRoute.js", "JavaScript", 142, 16, 22, 180
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\index.js", "JavaScript", 10, 3, 3, 16
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\postController.js", "JavaScript", 75, 6, 10, 91
"Total", "-", 352, 39, 58, 449
